"tipo_eleccion";"anno";"mes";"vuelta";"codigo_ccaa";"codigo_provincia";"codigo_distrito_electoral";"ambito_territorial";"poblacion_derecho";"n_diputados";"numero_mesas";"censo_ine";"censo_escrutinio";"censo_cere";"votantes_cere";"participacion_1";"participacion_2";"votos_blancos";"votos_nulos";"votos_candidaturas";"votos_afirmativos";"votos_negativos";"codigo_partido_nacional";"codigo_partido_autonomia";"codigo_partido_provincia";"codigo_partido";"denominacion";"siglas";"votos";"diputados";"datos_oficiales"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000064";"000064";"000064";"000064";"PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA";"PCTE";471;0;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000101";"000101";"000101";"000101";"RECORTES CERO-GRUPO VERDE";"RECORTES CERO-GV";464;0;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000098";"000098";"000098";"000098";"POR UN MUNDO MÁS JUSTO";"PUM+J";419;0;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000103";"000103";"000103";"000103";"PARTIDO REPUBLICANO INDEPENDIENTE SOLIDARIO ANDALUZ";"RISA";249;0;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";226831;4;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";163177;3;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";162280;2;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";97801;1;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000018";"000018";"000018";"000018";"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"Cs";66995;1;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000046";"000044";"000044";"000044";"MÁS PAÍS-ANDALUCÍA";"MÁS PAÍS-AN";14112;0;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000055";"000055";"000055";"000055";"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL";"PACMA";11089;0;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000009";"000009";"000009";"000009";"ANDALUCÍA POR SÍ";"AxSÍ";1686;0;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000057";"000057";"000057";"000057";"PARTIDO COMUNISTA OBRERO ESPAÑOL";"PCOE";1265;0;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000101";"000101";"000101";"000101";"RECORTES CERO-GRUPO VERDE";"RECORTES CERO-GV";1261;0;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000098";"000098";"000098";"000098";"POR UN MUNDO MÁS JUSTO";"PUM+J";904;0;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000061";"000058";"000058";"000058";"PARTIDO COMUNISTA DEL PUEBLO ANDALUZ";"PCPA";581;0;"S"
"02";"2019";"11";"1";"01";"29";"9";"Málaga";1641121;11;1662;1197688;1197688;0;0;400679;618588;8358;10098;748363;0;0;"000064";"000064";"000064";"000064";"PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA";"PCTE";381;0;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";380385;5;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";188813;2;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";188166;2;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";153435;2;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000018";"000018";"000018";"000018";"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"Cs";83575;1;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000046";"000044";"000044";"000044";"MÁS PAÍS-ANDALUCÍA";"MÁS PAÍS-AN";22388;0;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000055";"000055";"000055";"000055";"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL";"PACMA";12035;0;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000009";"000009";"000009";"000009";"ANDALUCÍA POR SÍ";"AxSÍ";5183;0;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000057";"000057";"000057";"000057";"PARTIDO COMUNISTA OBRERO ESPAÑOL";"PCOE";1495;0;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000101";"000101";"000101";"000101";"RECORTES CERO-GRUPO VERDE";"RECORTES CERO-GV";1456;0;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000098";"000098";"000098";"000098";"POR UN MUNDO MÁS JUSTO";"PUM+J";1402;0;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000061";"000058";"000058";"000058";"PARTIDO COMUNISTA DEL PUEBLO ANDALUZ";"PCPA";842;0;"S"
"02";"2019";"11";"1";"01";"41";"9";"Sevilla";1939887;12;2560;1547735;1547744;0;0;561574;869323;13793;17729;1039725;0;0;"000064";"000064";"000064";"000064";"PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA";"PCTE";550;0;"S"
"02";"2019";"11";"1";"01";"99";"9";"Andalucía";8384408;61;10128;6579357;6579380;0;0;2266348;3471035;50672;65040;4221012;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";1425126;25;"S"
"02";"2019";"11";"1";"01";"99";"9";"Andalucía";8384408;61;10128;6579357;6579380;0;0;2266348;3471035;50672;65040;4221012;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";877202;15;"S"
"02";"2019";"11";"1";"01";"99";"9";"Andalucía";8384408;61;10128;6579357;6579380;0;0;2266348;3471035;50672;65040;4221012;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";869909;12;"S"
"02";"2019";"11";"1";"01";"99";"9";"Andalucía";8384408;61;10128;6579357;6579380;0;0;2266348;3471035;50672;65040;4221012;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";559628;6;"S"
